ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init
7389.0,0.1028136891406127,0.0936565654886891,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3128.0906641601287,3.32409,0.42844,0.83425,2.52194,2.15272,3.32409,0.2414,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26632,0.26581,0.09402,0.01448,0.25016,0.11203,0.48912,0.51341,0.00676,0.01688,2.0,2.0,1.0,1.0,1.71394,1.71394,6.7854461261608,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.08366,0.05,2.28037,0.67566,0.84347,0.68544,1.14202,0.23142,0.17585,0.04654,0.07999,0.02562,0.24861,0.73497,0.92387,1.01035,0.79412,0.21932,0.04006,0.20728,0.09137,2.31005,0.71575,1.10679,2.21508,2.22913,0.48739,0.6533,1.50846,1.24218,0.9304,1.18869,1.56096,1.20926,1.91126,1.91602,0.41537,0.20285
10619.0,0.1343285870877338,0.1172126653013945,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4602.735830904046,3.32409,0.48841,0.83425,2.86736,2.15272,3.32409,0.24969,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26189,0.26581,0.0079,0.01448,0.11124,0.11203,0.49667,0.51341,0.02365,0.04492,2.0,2.0,1.0,1.0,1.71394,1.71394,9.984242583305958,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.44043,0.29261,2.6307,1.10501,0.8476,0.31167,0.31522,0.17744,0.88374,0.21657,0.3141,0.02945,0.31104,0.78584,0.5094,1.55169,1.56447,0.15445,0.39427,0.00343,0.03296,2.4316,0.295,0.3676,1.80996,1.83126,1.78279,2.4613,1.96612,1.96361,1.85956,1.88055,1.85853,0.10318,1.87341,1.88789,1.84084,1.85295
18467.0,0.1316232358804134,0.1203850536089937,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4295.3054490354125,3.32409,0.18605,0.83425,2.24594,2.15272,3.32409,0.33587,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.29072,0.26581,0.17277,0.01448,0.12379,0.11203,0.51449,0.51341,0.01653,0.01693,2.0,2.0,1.0,1.0,1.71394,1.71394,9.317365399209136,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.08216,0.23646,2.2559,0.90176,1.39035,1.0818,1.27693,0.48611,0.48231,0.02602,0.23905,0.00628,0.157,0.61044,1.11093,0.33919,0.40764,0.87763,0.74477,0.28162,0.20636,2.32184,0.244,0.50734,1.47375,1.09683,0.44934,0.01898,1.7379,0.36024,2.3995,2.48888,0.05615,0.04717,2.19147,2.28914,1.08342,0.85757
26305.0,0.1150779618741571,0.1019047630834477,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4211.987781725031,3.32409,0.4673,0.83425,2.84335,2.15272,3.32409,0.23794,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25884,0.26581,0.05631,0.01448,0.17935,0.11203,0.49551,0.51341,0.00758,0.03339,2.0,2.0,1.0,1.0,1.71394,1.71394,9.13663293215842,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.11795,0.1226,2.33914,0.51602,0.60956,1.07264,0.02746,0.32651,0.3588,0.06194,0.13929,0.13278,0.31759,0.54761,0.01762,2.57008,2.40756,1.46779,1.58318,0.49533,0.73789,2.3382,0.19398,0.31693,2.24795,2.492,1.57388,1.74321,1.3723,1.20206,0.63994,0.40031,1.40541,1.59017,2.20315,2.28724,0.89696,0.07124
40903.0,0.1244956536144079,0.1126187833955229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3998.7698647703937,3.32409,0.41978,0.83425,2.17057,2.15272,3.32409,0.2572,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25718,0.26581,0.04103,0.01448,0.1435,0.11203,0.49347,0.51341,0.01855,0.0113,2.0,2.0,1.0,1.0,1.71394,1.71394,8.67412118171452,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07795,0.1579,2.27648,0.5853,0.55711,0.98519,1.46313,0.29024,0.68237,0.06434,0.28584,0.04118,0.04786,0.72028,1.12449,1.48162,1.0579,2.13625,2.17958,0.23882,0.02221,2.33947,0.03672,0.01859,1.52123,1.69465,1.11847,0.55242,1.52239,1.63598,1.82564,1.86129,0.58699,1.0545,1.9833,1.7216,1.89171,1.13971
41521.0,0.1239392229505917,0.1097480302640069,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4603.514062655039,3.32409,0.93191,0.83425,1.66133,2.15272,3.32409,0.16181,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.29256,0.26581,0.00087,0.01448,0.24225,0.11203,0.47766,0.51341,0.02177,0.02971,2.0,2.0,1.0,1.0,1.71394,1.71394,9.985930721594444,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.11754,0.14712,1.78953,0.87,0.6023,0.17363,0.41564,0.0238,0.04765,0.92191,1.0336,0.67672,0.7462,0.5541,1.24271,0.9446,0.756,0.82632,0.85401,0.46948,0.80824,1.78074,0.63127,0.69632,1.47374,0.954,0.82392,0.49577,0.96527,0.36268,1.86447,1.76936,1.57106,1.2995,1.68571,1.71468,1.43431,1.55066
29463.0,0.1518073916847082,0.1430925698969568,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4444.482236469521,3.32409,0.55429,0.83425,2.89795,2.15272,3.32409,0.22278,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.30452,0.26581,0.05977,0.01448,0.28776,0.11203,0.53921,0.51341,0.01338,0.02723,2.0,2.0,1.0,1.0,1.71394,1.71394,9.640959298198528,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.26065,0.18012,2.18148,0.57748,0.49548,0.61616,1.1676,0.17064,0.18044,0.09742,0.66267,0.14575,0.28373,0.58439,1.10675,1.80669,1.87625,1.22253,0.61986,0.39662,0.47006,2.19961,0.10328,0.45517,1.18048,1.26928,1.71018,0.97022,2.09545,2.24792,0.92314,0.34691,0.87099,0.69025,0.85938,1.0543,2.0915,2.08157
31015.0,0.1168160208897637,0.1067488694402742,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4302.666519780489,3.32409,0.29526,0.83425,2.69166,2.15272,3.32409,0.31296,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.2504,0.26581,0.01411,0.01448,0.3158,0.11203,0.50814,0.51341,0.04052,0.05373,2.0,2.0,1.0,1.0,1.71394,1.71394,9.333333014708218,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.10245,0.16205,1.97755,0.56374,0.98354,0.95713,1.35912,0.36972,0.35839,0.04853,0.58429,0.03311,0.01115,0.69141,1.10499,0.31604,0.06291,0.64959,0.73996,0.23559,0.37704,1.94319,1.47112,1.65092,1.96633,1.92795,0.64513,0.6075,2.09699,2.15207,0.20946,0.26631,1.77868,1.75867,1.56345,0.90895,0.97901,0.37526
45349.0,0.1155458742419935,0.1015373175343914,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3900.003985197718,3.32409,0.44704,0.83425,3.57206,2.15272,3.32409,0.27985,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27419,0.26581,0.04753,0.01448,0.17513,0.11203,0.54068,0.51341,0.01612,0.03905,2.0,2.0,1.0,1.0,1.71394,1.71394,8.4598784928367,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.05072,0.05,2.17185,0.94691,1.34003,0.23662,0.21351,0.07781,0.7813,0.09134,0.11222,0.2182,0.5121,0.48652,0.03093,1.85752,1.75176,0.00051,0.48268,0.58826,0.90745,2.31568,0.00249,0.17975,1.66356,0.34144,1.11328,1.36603,2.34572,2.42624,1.26505,1.0227,2.01393,2.01156,1.92066,1.71954,1.32687,0.35339
33923.0,0.1192512513930091,0.1073264918519981,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3669.270480038989,3.32409,0.62183,0.83425,3.10656,2.15272,3.32409,0.22599,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.28373,0.26581,0.01349,0.01448,0.18727,0.11203,0.48332,0.51341,0.0079,0.02208,2.0,2.0,1.0,1.0,1.71394,1.71394,7.959371974054204,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.22192,0.22586,2.27512,1.06219,1.34446,0.14259,0.63884,0.07979,0.23922,0.08793,0.34564,0.10185,0.49669,0.69851,1.03125,1.42938,0.64468,0.20489,0.28489,0.3165,0.84896,2.43479,0.51354,0.68933,1.70634,1.22256,1.20708,0.51809,1.31895,0.76487,2.03391,2.04654,1.83134,1.84298,1.76972,1.7721,1.30722,1.38028
33998.0,0.1071069021324273,0.0878697786765272,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4172.44493555752,3.32409,0.487,0.83425,2.72397,2.15272,3.32409,0.24474,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26843,0.26581,0.00044,0.01448,0.14029,0.11203,0.53879,0.51341,0.02725,0.03294,2.0,2.0,1.0,1.0,1.71394,1.71394,9.05085669318334,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.23435,0.2458,1.128,0.85133,0.87363,0.51837,0.70702,0.16379,0.39168,0.23099,0.60003,0.34276,0.08586,0.29565,0.29014,1.41765,0.8539,1.20341,1.45,0.78805,0.92834,1.17487,0.18716,0.03976,1.42894,1.41984,0.50791,0.33591,0.71879,0.22045,1.2219,1.5048,1.99586,1.99663,2.5731,0.69746,0.58792,0.70604
49396.0,0.1075145821972159,0.0948748062817123,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3571.2848730934093,3.32409,0.53496,0.83425,1.94086,2.15272,3.32409,0.19776,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.2583,0.26581,0.02013,0.01448,0.23363,0.11203,0.4783,0.51341,0.02233,0.03786,2.0,2.0,1.0,1.0,1.71394,1.71394,7.746821850528002,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.05086,0.05,1.17714,0.69731,0.22096,0.66447,0.21216,0.21691,0.60362,0.10595,0.45489,0.10427,0.73622,0.6955,0.5402,0.87118,0.77448,0.85818,1.0195,0.30934,0.15281,0.4885,0.0279,0.12176,0.90432,0.89261,0.28126,0.26589,0.01889,0.13755,1.525,1.5641,0.92355,0.98057,1.43814,0.96222,0.27907,0.38412
38562.0,0.130673294780475,0.112141667076132,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4562.7644899762,3.32409,0.5817,0.83425,2.62045,2.15272,3.32409,0.19959,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25465,0.26581,0.03932,0.01448,0.14048,0.11203,0.50925,0.51341,0.02095,0.03267,2.0,2.0,1.0,1.0,1.71394,1.71394,9.897536854612149,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.18225,0.20813,1.23806,1.37154,1.39698,1e-05,0.13666,0.11952,0.15379,0.5419,0.31413,0.23731,0.77602,0.59586,0.08885,1.24349,1.44291,1.98119,1.97799,0.15294,0.04154,0.8955,0.01544,0.18147,0.91833,0.75585,0.67359,0.09182,2.2725,2.28438,2.37185,2.45596,0.9617,0.95942,2.49368,2.46197,2.32558,2.34407
