ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init
340.0,0.198388588,0.16919603,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1377.018656,3.32409,0.94065,0.83425,2.09639,2.15272,3.32409,0.38519,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25905,0.26581,0.01293,0.01448,0.14281,0.11203,0.40888,0.51341,0.06579,0.05851,2.0,2.0,1.0,1.0,1.71394,1.71394,2.987025284,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.0582,0.05,0.97972,1.1479,1.10664,0.5655,0.71764,0.09651,0.82707,0.5281,0.99901,0.00352,0.18189,0.00616,0.0252,2.29701,2.31509,1.50213,1.07412,0.12469,0.87629,1.04393,0.02308,0.1553,1.85503,1.73492,1.05906,0.51484,0.34463,0.00136,0.28884,0.62895,1.08536,1.07505,1.00651,0.19077,0.74229,0.05052
82439.0,0.20545352,0.178003808,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1370.575448,3.32409,0.72301,0.83425,2.54652,2.15272,3.32409,0.72335,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26335,0.26581,0.006,0.01448,0.10219,0.11203,0.38736,0.51341,0.03414,0.04334,2.0,2.0,1.0,1.0,1.71394,1.71394,2.973048695,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.15514,0.15155,1.52401,1.02558,0.05259,0.67244,0.50369,0.08549,0.62455,0.63686,0.64785,0.05755,0.33254,0.04884,0.23586,2.11213,2.09637,2.28902,2.2522,0.14191,0.20146,1.62425,0.19751,0.01824,2.3872,2.2893,1.24618,0.03275,1.67509,0.08274,0.24943,0.31691,0.8618,1.24373,1.21167,1.12605,1.51763,1.01199
26305.0,0.195795182,0.169470112,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1340.661341,3.32409,0.75046,0.83425,1.76373,2.15272,3.32409,0.45995,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26139,0.26581,0.02682,0.01448,0.16852,0.11203,0.40658,0.51341,0.02276,0.03339,2.0,2.0,1.0,1.0,1.71394,1.71394,2.908159091,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07771,0.1226,2.28459,1.19733,0.60956,0.48129,0.02746,0.04744,0.3588,0.84531,0.13929,0.07389,0.31759,0.00039,0.01762,2.45701,2.40756,1.50777,1.58318,0.08528,0.73789,2.3382,0.0004,0.31693,2.67059,2.492,1.7637,1.74321,1.27855,1.20206,1.17431,0.40031,1.69395,1.59017,2.23434,2.28724,1.51825,0.07124
89389.0,0.194674497,0.163557359,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1352.824356,3.32409,1.40803,0.83425,2.04273,2.15272,3.32409,0.42531,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26102,0.26581,0.03532,0.01448,0.16599,0.11203,0.39489,0.51341,0.05155,0.04697,2.0,2.0,1.0,1.0,1.71394,1.71394,2.934543072,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.06667,0.05,1.37465,1.25227,0.74392,0.43204,0.65732,0.00213,0.16989,1.24095,0.75869,0.22664,0.90659,0.00018,0.30738,1.41378,1.44775,0.8211,0.52038,0.11904,0.33269,1.3806,0.0306,0.63644,1.72515,1.30206,0.87559,0.54168,0.96226,0.29216,0.53302,0.68011,1.06039,1.22902,0.92542,0.86877,0.76168,0.96196
90743.0,0.184957668,0.157605001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1317.417066,3.32409,0.6176,0.83425,3.05801,2.15272,3.32409,0.50329,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25342,0.26581,0.0036,0.01448,0.17379,0.11203,0.39759,0.51341,0.03778,0.0429,2.0,2.0,1.0,1.0,1.71394,1.71394,2.857737671,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.19888,0.17712,1.87837,1.39064,0.08918,0.56121,0.17967,0.30342,0.63754,0.70526,0.3891,0.0044,0.24573,9e-05,0.02002,1.01437,0.16969,0.35328,0.85686,0.07415,0.98668,1.84036,0.26369,0.89617,1.98684,1.98723,0.92805,1.05892,1.06389,0.34549,1.4149,1.42712,2.32975,2.28895,2.34236,2.42123,0.95118,0.28031
33998.0,0.193376121,0.165353267,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1340.262575,3.32409,0.92566,0.83425,2.66694,2.15272,3.32409,0.45758,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.24497,0.26581,0.00459,0.01448,0.1555,0.11203,0.3944,0.51341,0.0219,0.03294,2.0,2.0,1.0,1.0,1.71394,1.71394,2.907294089,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21941,0.2458,1.14146,1.15899,0.87363,0.53249,0.70702,0.04505,0.39168,0.66976,0.60003,0.00126,0.08586,0.00258,0.29014,1.12178,0.8539,1.32876,1.45,0.09017,0.92834,1.17487,0.17389,0.03976,1.32707,1.41984,0.75222,0.33591,0.42357,0.22045,1.33172,1.5048,1.99627,1.99663,2.35914,0.69746,1.18228,0.70604
37514.0,0.197943368,0.167183097,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1356.406466,3.32409,1.77448,0.83425,1.69695,2.15272,3.32409,0.62271,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26257,0.26581,0.09548,0.01448,0.16122,0.11203,0.42082,0.51341,0.06179,0.0633,2.0,2.0,1.0,1.0,1.71394,1.71394,2.942313375,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21831,0.1763,0.98835,1.42622,1.3461,0.38405,0.03617,0.04242,0.52588,1.34072,1.09954,0.20304,0.68128,0.00851,0.41592,1.66911,1.72635,0.87893,0.02511,0.00648,0.29746,0.34059,0.15189,0.52326,1.82208,1.62583,0.82908,0.51312,1.31374,1.52104,0.11549,0.56752,1.63597,1.65191,1.24334,1.05737,0.74162,0.71601
92587.0,0.195302713,0.171624212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1322.315959,3.32409,0.65472,0.83425,2.37199,2.15272,3.32409,0.76156,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27107,0.26581,0.07548,0.01448,0.19423,0.11203,0.40352,0.51341,0.05706,0.06195,2.0,2.0,1.0,1.0,1.71394,1.71394,2.868364336,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.15819,0.27067,1.59436,1.04669,0.83421,0.50865,0.31206,0.00931,0.22925,0.74719,1.26088,0.02991,0.01714,0.09038,0.85982,2.04022,2.05554,1.14995,0.5267,0.00014,0.17564,1.68349,0.01468,0.1132,2.42268,0.76366,1.24994,1.15051,1.96196,0.84228,0.04592,0.46815,2.49082,2.46012,1.89514,1.89194,1.2331,1.42323
38807.0,0.195698964,0.164148942,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1367.33031,3.32409,1.62405,0.83425,2.09465,2.15272,3.32409,0.77729,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26843,0.26581,0.07792,0.01448,0.21505,0.11203,0.43647,0.51341,0.0332,0.0356,2.0,2.0,1.0,1.0,1.71394,1.71394,2.96600935,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.22732,0.18143,1.82836,0.96473,0.59787,0.60879,1.23267,0.17489,0.74826,0.46884,0.64264,0.00088,0.7302,0.00232,0.21438,1.85875,1.83637,0.9898,1.20323,0.13215,0.86694,1.58369,0.02615,0.19276,2.31086,0.60999,1.18553,1.36902,1.68515,1.43568,0.06009,0.11748,2.24286,2.38594,1.67567,1.66962,0.96819,0.54388
16499.0,0.200491841,0.170484142,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1366.100998,3.32409,1.83455,0.83425,1.27639,2.15272,3.32409,0.5153,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.31988,0.26581,0.02786,0.01448,0.19861,0.11203,0.41346,0.51341,0.02463,0.04123,2.0,2.0,1.0,1.0,1.71394,1.71394,2.96334273,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.14997,0.2504,1.83493,1.17872,1.35177,0.56704,1.02702,0.23378,0.54824,0.67768,0.67325,0.05036,0.91982,0.00113,0.2254,2.41197,2.4403,2.24229,2.26832,0.11734,0.7777,1.56636,0.05003,0.32871,2.19068,2.22347,1.67948,1.77062,1.3849,0.16016,0.96053,0.74477,1.92912,1.51843,2.30469,2.35191,1.92648,0.20347
