ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,i_d_0,i_d_0_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init,w_d_0,w_d_0_init,w_d_1,w_d_1_init,w_d_2,w_d_2_init,w_d_3,w_d_3_init,w_d_4,w_d_4_init,w_d_5,w_d_5_init
17.0,0.1251665206309076,0.105314581590436,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,280.2268474588355,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.3951012603319275,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07226,0.07226,1.48523,0.94697,0.94697,0.27172,0.27172,0.10162,0.10162,0.20773,0.20773,0.0759,0.0759,0.78141,0.78141,2.31912,2.31912,0.80142,0.80142,0.06924,0.06924,1.48523,0.00544,0.00544,2.01701,2.01701,0.64693,0.64693,0.50263,0.50263,0.67024,0.67024,1.0656,1.0656,1.22929,1.22929,0.21415,0.21415,0.06021,0.06021,1.23731,1.23756,0.00453,0.00453,1.93311,1.93239,2.09438,1.68066,0.23107,0.53905
2.0,0.1294952698365154,0.1127672793646659,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,336.987369265458,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.04034,0.04034,2.0,2.0,1.0,1.0,1.71394,1.71394,2.880233925345795,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.20277,0.20277,1.93806,0.92078,0.92078,0.24645,0.24645,0.06404,0.06404,0.05985,0.05985,0.06535,0.06535,0.77549,0.77549,1.64326,1.64326,0.50419,0.50419,0.18749,0.18749,1.93806,1.09765,1.09765,2.11154,2.11154,1.36575,1.36575,0.13359,0.13359,1.27827,1.27827,1.76558,1.76558,1.26593,1.26593,0.7797,0.7797,0.16896,0.16896,1.61513,1.61488,0.91478,0.91461,1.36943,1.36924,2.10395,1.75943,0.93169,1.138
14.0,0.1259525735083191,0.1041688063144547,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,289.17874155069296,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.4716131756469486,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.19292,0.19292,2.06668,1.05178,1.05178,0.28582,0.28582,0.13719,0.13719,0.18666,0.18666,0.0826,0.0826,0.73512,0.73512,1.95052,1.95052,0.4025,0.4025,0.15016,0.15016,2.06668,0.16766,0.16766,1.87657,1.87657,1.03178,1.03178,0.89007,0.89007,1.32207,1.32207,1.56316,1.56316,1.62238,1.62238,0.59657,0.59657,0.16075,0.16075,1.72215,1.72205,0.13973,0.1397,1.62527,1.62526,1.95996,1.56364,0.59309,0.85973
23.0,0.1882252649530158,0.1643609325523023,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,293.4218837511624,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.5078793483005333,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.18777,0.18777,1.55523,0.80843,0.80843,0.32191,0.32191,0.05805,0.05805,0.41047,0.41047,0.44291,0.44291,0.5161,0.5161,1.44576,1.44576,0.73424,0.73424,0.60325,0.60325,1.55523,0.19812,0.19812,0.9858,0.9858,1.05937,1.05937,1.01718,1.01718,1.61476,1.61476,1.98801,1.98801,1.4711,1.4711,1.46054,1.46054,0.15646,0.15646,1.29587,1.29589,0.16509,0.16508,1.20463,1.20467,1.12045,0.82141,0.66466,0.88271
20.0,0.1329514013978366,0.1093948072542025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,298.255090215079,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.04307,0.04307,2.0,2.0,1.0,1.0,1.71394,1.71394,2.549188805257085,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.36684,0.36684,2.17958,0.69876,0.69876,0.70599,0.70599,0.20124,0.20124,0.17906,0.17906,0.15312,0.15312,0.6143,0.6143,1.55041,1.55041,0.71264,0.71264,0.33062,0.33062,2.17958,0.61447,0.61447,2.06936,2.06936,1.33837,1.33837,0.51945,0.51945,1.52241,1.52241,1.54208,1.54208,1.53321,1.53321,1.01858,1.01858,0.30567,0.30567,1.81644,1.81612,0.51205,0.512,1.2919,1.29187,2.03917,1.72428,0.91963,1.11519
290.0,0.1601166914945903,0.1365913378009248,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,287.76876696688856,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.459562110828107,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.27149,0.27149,2.28869,0.68591,0.68591,0.564,0.564,0.14738,0.14738,0.2494,0.2494,0.26955,0.26955,0.53772,0.53772,2.27375,2.27375,0.21356,0.21356,0.48276,0.48276,2.28869,0.17716,0.17716,1.94792,1.94792,1.43775,1.43775,0.78944,0.78944,1.01525,1.01525,1.75104,1.75104,1.32608,1.32608,0.5379,0.5379,0.22622,0.22622,1.90704,1.90704,0.14764,0.14762,1.89502,1.89459,1.99172,1.62309,0.94525,1.198
70.0,0.1436631417498179,0.1171798713460061,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,282.3373057712467,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.4131393655662112,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.18964,0.18964,1.47755,1.16651,1.16651,0.04304,0.04304,0.10297,0.10297,0.13161,0.13161,0.12476,0.12476,0.67994,0.67994,2.19632,2.19632,0.23423,0.23423,0.27233,0.27233,1.47755,0.60113,0.60113,1.73626,1.73626,1.2597,1.2597,0.74376,0.74376,0.88349,0.88349,2.12215,2.12215,1.35389,1.35389,0.67627,0.67627,0.15802,0.15802,1.23118,1.23116,0.50089,0.50089,1.83014,1.83007,1.76195,1.44673,0.82947,1.04964
18.0,0.2027261278368009,0.1865010044146877,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,355.5923897440158,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,3.0392511943932976,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.30983,0.30983,1.45562,0.90231,0.90231,0.12529,0.12529,0.02753,0.02753,0.35258,0.35258,0.38036,0.38036,0.4841,0.4841,2.43675,2.43675,1.98407,1.98407,0.58341,0.58341,1.45562,0.16164,0.16164,1.58784,1.58784,1.33088,1.33088,0.225,0.225,1.28574,1.28574,0.97161,0.97161,1.35223,1.35223,1.16336,1.16336,0.25816,0.25816,1.21298,1.21289,0.13469,0.13469,2.03041,2.03041,1.65588,1.32306,0.80468,1.10895
1.0,0.1647430566324674,0.1422754982308529,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,289.79198448058804,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.4768545682101544,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.36213,0.36213,2.38467,0.7286,0.7286,0.51271,0.51271,0.11663,0.11663,0.15309,0.15309,0.11889,0.11889,0.66918,0.66918,1.52813,1.52813,0.63159,0.63159,0.27172,0.27172,2.38467,0.37213,0.37213,1.37193,1.37193,1.67566,1.67566,0.84256,0.84256,2.36564,2.36564,2.02823,2.02823,1.64881,1.64881,1.85757,1.85757,0.30174,0.30174,1.98701,1.98701,0.31009,0.31008,1.27331,1.27331,1.46032,1.14315,1.22511,1.39623
19.0,0.1289005363171919,0.1072600515803586,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,305.98487252121674,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.22148,0.22148,0.04542,0.04542,2.0,2.0,1.0,1.0,1.71394,1.71394,2.61525532069416,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.30852,0.30852,1.22797,1.08833,1.08833,0.12522,0.12522,0.07728,0.07728,0.00187,0.00187,0.09609,0.09609,0.64435,0.64435,1.36647,1.36647,0.66368,0.66368,0.40128,0.40128,1.22797,0.11457,0.11457,1.46675,1.46675,0.57241,0.57241,0.75419,0.75419,1.24526,1.24526,1.55094,1.55094,1.87885,1.87885,0.57913,0.57913,0.25707,0.25707,1.02324,1.0232,0.09547,0.09546,1.13851,1.1386,1.55596,1.22216,0.23876,0.47696
