ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,i_d_0,i_d_0_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init,w_d_0,w_d_0_init,w_d_1,w_d_1_init,w_d_2,w_d_2_init,w_d_3,w_d_3_init,w_d_4,w_d_4_init,w_d_5,w_d_5_init
24.0,0.2569347814301558,0.2430942958393748,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,259.0956254253928,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.214492525003357,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.22059,0.22059,1.09308,0.68128,0.68128,0.66911,0.66911,0.22649,0.22649,0.26607,0.26607,0.21748,0.21748,0.51043,0.51043,1.47611,1.47611,1.91047,1.91047,0.47076,0.47076,1.09308,0.13031,0.13031,1.29232,1.29232,0.49164,0.49164,1.38965,1.38965,0.47687,0.47687,0.84134,0.84134,1.79409,1.79409,0.83755,0.83755,0.25666,0.25666,1.27181,1.27179,0.15162,0.15162,1.71752,1.71745,1.69093,1.50361,0.39747,0.57202
331.0,0.1680410983081237,0.1507920881674701,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,252.49389939354063,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.1580675161841083,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.13825,0.13825,1.0406,0.66722,0.66722,0.59976,0.59976,0.18111,0.18111,0.24335,0.24335,0.17024,0.17024,0.69358,0.69358,1.26135,1.26135,1.07057,1.07057,0.23446,0.23446,1.0406,0.37104,0.37104,1.09635,1.09635,0.56143,0.56143,0.44154,0.44154,0.79788,0.79788,1.64522,1.64522,1.51851,1.51851,0.5672,0.5672,0.16085,0.16085,1.21074,1.21073,0.43173,0.4317,1.4676,1.46758,1.48133,1.2756,0.54846,0.65322
30.0,0.184703990278593,0.1653959591357149,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,225.5523367098557,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.04045,0.04045,2.0,2.0,1.0,1.0,1.71394,1.71394,1.9277977496568863,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.38844,0.38844,1.0561,0.6024,0.6024,0.85361,0.85361,0.29346,0.29346,0.13035,0.13035,0.12658,0.12658,0.57385,0.57385,1.06079,1.06079,1.27433,1.27433,0.39384,0.39384,1.0561,0.09654,0.09654,1.2492,1.2492,0.45002,0.45002,0.87059,0.87059,1.1688,1.1688,1.495,1.495,2.34591,2.34591,0.68266,0.68266,0.45195,0.45195,1.22878,1.22877,0.11233,0.11232,1.23425,1.23422,1.55863,1.45344,0.48702,0.5236
325.0,0.1675026691416135,0.1434705199703318,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,239.00568717478512,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.04278365106654,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.1149,0.1149,2.3318,0.76761,0.76761,0.56699,0.56699,0.16461,0.16461,0.30869,0.30869,0.2437,0.2437,0.58335,0.58335,1.88538,1.88538,0.00503,0.00503,0.41269,0.41269,2.3318,0.08298,0.08298,1.85567,1.85567,1.22477,1.22477,0.4985,0.4985,1.21401,1.21401,2.36255,2.36255,1.71555,1.71555,0.40872,0.40872,0.13369,0.13369,2.71278,2.71304,0.09655,0.09655,2.19351,2.19363,2.23132,2.15906,1.42352,1.42501
17.0,0.1251525463473332,0.105303647427044,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,254.1851717503218,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.172522835472836,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07226,0.07226,1.48523,0.94697,0.94697,0.27172,0.27172,0.10162,0.10162,0.20773,0.20773,0.0759,0.0759,0.78141,0.78141,2.31912,2.31912,0.80142,0.80142,0.06924,0.06924,1.48523,0.00544,0.00544,2.01701,2.01701,0.64693,0.64693,0.50263,0.50263,0.67024,0.67024,1.0656,1.0656,1.22929,1.22929,0.21415,0.21415,0.08407,0.08407,1.72796,1.72806,0.00633,0.00633,2.6981,2.69829,2.45644,2.34678,0.6984,0.7527
93.0,0.2205741421267754,0.2018738114290606,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,234.5880156742976,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.0050257749939964,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.15711,0.15711,1.75063,0.7502,0.7502,0.5831,0.5831,0.21698,0.21698,0.34071,0.34071,0.28357,0.28357,0.43551,0.43551,1.69898,1.69898,0.70534,0.70534,0.53019,0.53019,1.75063,0.23099,0.23099,2.12497,2.12497,0.45958,0.45958,0.70338,0.70338,1.01194,1.01194,1.30196,1.30196,1.89804,1.89804,0.10712,0.10712,0.1828,0.1828,2.03685,2.03685,0.26876,0.26876,1.97676,1.97676,2.66904,2.47239,0.43464,0.53472
57.0,0.1175041179419801,0.090668158800308,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,221.008666877148,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.05031,0.05031,2.0,2.0,1.0,1.0,1.71394,1.71394,1.8889629647619488,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.1052,0.1052,1.21461,0.68964,0.68964,0.80341,0.80341,0.23905,0.23905,0.15741,0.15741,0.15547,0.15547,0.61978,0.61978,1.73015,1.73015,0.77103,0.77103,0.36398,0.36398,1.21461,0.32094,0.32094,1.83712,1.83712,0.51351,0.51351,0.29203,0.29203,0.75962,0.75962,1.79054,1.79054,1.84327,1.84327,0.15875,0.15875,0.1224,0.1224,1.41277,1.41319,0.37335,0.37341,2.01277,2.01302,2.25352,2.13748,0.54713,0.59747
350.0,0.1553242726877258,0.1317304331107624,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,224.61845683328556,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.919815870369962,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.18354,0.18354,1.38347,0.73321,0.73321,0.30865,0.30865,0.0245,0.0245,0.10264,0.10264,0.10251,0.10251,0.82901,0.82901,1.95935,1.95935,1.00992,1.00992,0.13984,0.13984,1.38347,0.43977,0.43977,1.26277,1.26277,1.25691,1.25691,0.82305,0.82305,1.04197,1.04197,2.213,2.213,1.52632,1.52632,1.31446,1.31446,0.21355,0.21355,1.60969,1.60966,0.51169,0.51167,2.27975,2.2797,1.57004,1.46923,1.44795,1.46241
320.0,0.1473171862507786,0.1271915193619309,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,266.06683298532056,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.2740754956010303,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.29761,0.29761,1.33761,0.86409,0.86409,0.40893,0.40893,0.09812,0.09812,0.31326,0.31326,0.13606,0.13606,0.84907,0.84907,0.78564,0.78564,0.25692,0.25692,0.0065,0.0065,1.33761,0.59072,0.59072,1.04136,1.04136,0.67662,0.67662,0.8369,0.8369,1.6482,1.6482,2.34363,2.34363,1.71919,1.71919,1.04326,1.04326,0.34627,0.34627,1.55631,1.5563,0.68733,0.6873,0.91411,0.91409,1.34753,1.21162,0.72872,0.78724
129.0,0.1482639638226452,0.1123943560380298,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,246.1828408850436,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.30926,0.30926,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.104126845171313,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.28455,0.28455,2.4362,0.92896,0.92896,0.28122,0.28122,0.09572,0.09572,0.28811,0.28811,0.37078,0.37078,0.33362,0.33362,2.25501,2.25501,0.42974,0.42974,0.75391,0.75391,2.4362,0.38914,0.38914,2.40313,2.40313,1.56586,1.56586,0.52168,0.52168,1.5637,1.5637,2.11289,2.11289,1.9582,1.9582,0.79352,0.79352,0.33107,0.33107,2.83448,2.83451,0.45277,0.45276,2.62365,2.6237,2.85397,2.79603,1.81636,1.82187
