ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,i_d_0,i_d_0_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init,w_d_0,w_d_0_init,w_d_1,w_d_1_init,w_d_2,w_d_2_init,w_d_3,w_d_3_init,w_d_4,w_d_4_init,w_d_5,w_d_5_init
282.0,0.1287572379441931,0.1022551172233722,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,223.68838855649048,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.911866568858893,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.31925,0.31925,0.75035,0.79034,0.79034,0.54588,0.54588,0.16138,0.16138,0.33193,0.33193,0.30937,0.30937,0.48103,0.48103,0.772,0.772,0.35588,0.35588,0.53264,0.53264,0.75035,0.42209,0.42209,1.07442,1.07442,0.24235,0.24235,0.66828,0.66828,0.57205,0.57205,2.22611,2.22611,1.99686,1.99686,0.15813,0.15813,0.35257,0.35257,0.82863,0.82866,0.46614,0.46614,0.85256,0.85257,1.06274,1.18655,0.42202,0.26764
290.0,0.1598181964877342,0.1362433907278318,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,250.8901705456821,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,2.144360432014377,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.27149,0.27149,2.28869,0.68591,0.68591,0.564,0.564,0.14738,0.14738,0.2494,0.2494,0.26955,0.26955,0.53772,0.53772,2.27375,2.27375,0.21356,0.21356,0.48276,0.48276,2.28869,0.17716,0.17716,1.94792,1.94792,1.43775,1.43775,0.78944,0.78944,1.01525,1.01525,1.75104,1.75104,1.32608,1.32608,0.5379,0.5379,0.29982,0.29982,2.52784,2.52754,0.19569,0.19565,2.5113,2.51104,2.03993,2.1512,1.78026,1.58779
289.0,0.1525026235247792,0.132146014991593,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,304.2629752313038,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03032,0.03032,2.0,2.0,1.0,1.0,1.71394,1.71394,2.6005382498402034,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.1906,0.1906,1.47242,1.11456,1.11456,0.11536,0.11536,0.12262,0.12262,0.2148,0.2148,0.17218,0.17218,0.66145,0.66145,2.66012,2.66012,1.23817,1.23817,0.28047,0.28047,1.47242,0.83199,0.83199,2.13646,2.13646,1.43257,1.43257,0.45116,0.45116,1.00369,1.00369,1.72533,1.72533,1.53274,1.53274,0.94189,0.94189,0.21049,0.21049,1.62608,1.62608,0.91887,0.91882,2.93792,2.93773,2.31299,2.35942,1.68529,1.58207
20.0,0.1329726701540366,0.109422058953885,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,222.24947022428023,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.04307,0.04307,2.0,2.0,1.0,1.0,1.71394,1.71394,1.8995681215750448,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.36684,0.36684,2.17958,0.69876,0.69876,0.70599,0.70599,0.20124,0.20124,0.17906,0.17906,0.15312,0.15312,0.6143,0.6143,1.55041,1.55041,0.71264,0.71264,0.33062,0.33062,2.17958,0.61447,0.61447,2.06936,2.06936,1.33837,1.33837,0.51945,0.51945,1.52241,1.52241,1.54208,1.54208,1.53321,1.53321,1.01858,1.01858,0.40512,0.40512,2.40728,2.40704,0.67869,0.6786,1.71225,1.71221,2.17796,2.28532,1.61296,1.47804
17.0,0.1249942614444395,0.105115247326977,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,225.87886920718464,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.930588625702433,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07226,0.07226,1.48523,0.94697,0.94697,0.27172,0.27172,0.10162,0.10162,0.20773,0.20773,0.0759,0.0759,0.78141,0.78141,2.31912,2.31912,0.80142,0.80142,0.06924,0.06924,1.48523,0.00544,0.00544,2.01701,2.01701,0.64693,0.64693,0.50263,0.50263,0.67024,0.67024,1.0656,1.0656,1.22929,1.22929,0.21415,0.21415,0.0798,0.0798,1.64032,1.64023,0.00601,0.00601,2.56173,2.56114,2.04952,2.2275,0.92341,0.71444
276.0,0.1390183286675179,0.1191223485279347,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,209.52304812544503,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.05439,0.05439,2.0,2.0,1.0,1.0,1.71394,1.71394,1.790795283123462,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21332,0.21332,1.66175,0.74389,0.74389,0.56555,0.56555,0.16868,0.16868,0.11377,0.11377,0.05691,0.05691,0.80524,0.80524,2.04969,2.04969,1.00382,1.00382,0.12943,0.12943,1.66175,0.73841,0.73841,2.31864,2.31864,1.03786,1.03786,0.40517,0.40517,1.1102,1.1102,1.97482,1.97482,1.93839,1.93839,0.69126,0.69126,0.23558,0.23558,1.83517,1.83517,0.81548,0.81547,2.2638,2.26359,2.43733,2.56061,1.31589,1.14617
224.0,0.1698203916018467,0.1542486019345151,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,243.87600810712303,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03283,0.03283,2.0,2.0,1.0,1.0,1.71394,1.71394,2.0844103257019064,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.33845,0.33845,1.70434,1.04248,1.04248,0.16701,0.16701,0.10491,0.10491,0.22999,0.22999,0.10585,0.10585,0.73775,0.73775,1.25196,1.25196,0.18798,0.18798,0.14255,0.14255,1.70434,0.07695,0.07695,1.08977,1.08977,1.11118,1.11118,0.07574,0.07574,2.1848,2.1848,1.55378,1.55378,1.27782,1.27782,0.9675,0.9675,0.37377,0.37377,1.8822,1.8822,0.08498,0.08498,1.38261,1.38261,1.10464,1.2035,1.37705,1.22714
100.0,0.1363110330359854,0.1141228176896978,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,221.0016571539566,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03636,0.03636,2.0,2.0,1.0,1.0,1.71394,1.71394,1.88890305259792,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.34363,0.34363,1.83242,0.91441,0.91441,0.46132,0.46132,0.19044,0.19044,0.0074,0.0074,0.02067,0.02067,0.67938,0.67938,0.98758,0.98758,0.78965,0.78965,0.27325,0.27325,1.83242,0.1893,0.1893,1.44771,1.44771,0.89496,0.89496,0.77266,0.77266,2.10102,2.10102,0.99775,0.99775,1.74642,1.74642,1.31496,1.31496,0.37949,0.37949,2.02365,2.02365,0.20905,0.20906,1.09064,1.09064,1.49249,1.59879,1.1255,0.98836
223.0,0.1639095146190737,0.1467425663409231,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,213.51842808805867,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.8249438298124672,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.17143,0.17143,2.03428,0.8628,0.8628,0.43742,0.43742,0.17022,0.17022,0.28632,0.28632,0.07613,0.07613,0.79549,0.79549,1.88073,1.88073,1.18923,1.18923,0.00581,0.00581,2.03428,0.11173,0.11173,1.64127,1.64127,1.13296,1.13296,0.46535,0.46535,1.9173,1.9173,1.33259,1.33259,1.78321,1.78321,1.04193,1.04193,0.18932,0.18932,2.24645,2.24658,0.12338,0.12339,2.077,2.077,1.72267,1.81255,1.41204,1.25119
287.0,0.1235928023103399,0.1004689291459051,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,224.769527355605,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.29354,0.29354,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.9211070714154272,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.22018,0.22018,0.80572,1.07848,1.07848,0.15468,0.15468,0.07518,0.07518,0.53022,0.53022,0.29924,0.29924,0.64799,0.64799,1.70012,1.70012,1.97272,1.97272,0.19964,0.19964,0.80572,0.09868,0.09868,1.17264,1.17264,0.55685,0.55685,0.6804,0.6804,0.70195,0.70195,1.49042,1.49042,2.0243,2.0243,0.78343,0.78343,0.24316,0.24316,0.88979,0.8898,0.10898,0.10898,1.87746,1.87754,1.16111,1.29502,0.76211,0.61496
