ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,i_d_0,i_d_0_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init,w_d_0,w_d_0_init,w_d_1,w_d_1_init,w_d_2,w_d_2_init,w_d_3,w_d_3_init,w_d_4,w_d_4_init,w_d_5,w_d_5_init
1.0,0.2093311445702973,0.1807029470353869,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,123.2354981863302,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0532948562934203,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.14202,0.14202,1.66212,1.10123,1.10123,0.49125,0.49125,0.00042,0.00042,0.7221,0.7221,4e-05,4e-05,0.00265,0.00265,2.01485,2.01485,1.93253,1.93253,0.0138,0.0138,1.66212,0.00823,0.00823,1.716,1.716,1.40108,1.40108,0.91161,0.91161,1.21289,1.21289,1.64214,1.64214,2.01914,2.01914,1.6706,1.6706,0.12501,0.12501,1.46274,1.46299,0.00724,0.00724,1.77319,1.77346,2.12833,1.51042,1.03851,1.23323
7.0,0.2102984041299909,0.1804980455026965,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,127.6509909335954,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0910341105435506,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.25793,0.25793,1.97107,1.1918,1.1918,0.47971,0.47971,0.02545,0.02545,0.78069,0.78069,1e-05,1e-05,0.0,0.0,1.77801,1.77801,0.9415,0.9415,0.00045,0.00045,1.97107,0.00125,0.00125,1.86083,1.86083,1.48393,1.48393,1.5426,1.5426,1.30769,1.30769,2.37099,2.37099,2.20737,2.20737,1.58306,1.58306,0.22703,0.22703,1.73491,1.73493,0.0011,0.0011,1.56548,1.565,2.17355,1.6379,1.1383,1.30615
8.0,0.2089213476524465,0.1811964270757503,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,128.2351257417938,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0960267157418275,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21768,0.21768,1.56911,1.2437,1.2437,0.48929,0.48929,0.04621,0.04621,0.78314,0.78314,0.0024,0.0024,0.0001,0.0001,1.70765,1.70765,1.28591,1.28591,0.01897,0.01897,1.56911,0.02433,0.02433,1.57059,1.57059,1.23098,1.23098,0.93764,0.93764,1.0179,1.0179,1.44422,1.44422,1.56063,1.56063,1.22051,1.22051,0.1916,0.1916,1.38132,1.38113,0.02142,0.02142,1.50354,1.50307,2.03947,1.38243,0.86083,1.0835
4.0,0.2094022867736006,0.1808906346799462,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,128.99266910019605,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.102501445300821,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.13972,0.13972,1.76339,1.39454,1.39454,0.37046,0.37046,0.03827,0.03827,0.81297,0.81297,0.00336,0.00336,0.0001,0.0001,1.72596,1.72596,0.89369,0.89369,0.00233,0.00233,1.76339,0.00033,0.00033,1.82701,1.82701,1.19284,1.19284,1.64012,1.64012,1.03258,1.03258,1.85529,1.85529,2.02726,2.02726,1.16395,1.16395,0.12298,0.12298,1.5525,1.55213,0.00029,0.00029,1.51928,1.51918,2.32278,1.60813,0.79048,1.04993
3.0,0.3294636277417805,0.309675374364322,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,138.252196278499,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.04915,0.04915,2.0,2.0,1.0,1.0,1.71394,1.71394,1.1816427032350345,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.05002,0.05002,1.99498,1.14101,1.14101,0.44162,0.44162,0.10837,0.10837,0.67834,0.67834,0.01339,0.01339,0.0012,0.0012,0.92588,0.92588,1.22927,1.22927,0.00349,0.00349,1.99498,0.56046,0.56046,2.25524,2.25524,1.20147,1.20147,1.63539,1.63539,1.34558,1.34558,1.558,1.558,1.85404,1.85404,1.91044,1.91044,0.04403,0.04403,1.75003,1.75597,0.49331,0.49331,0.82587,0.81496,2.33163,1.98505,0.78694,1.05753
6.0,0.1936165110074466,0.1647669057804009,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,130.6760591794861,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.1168893946964622,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.18053,0.18053,1.76579,1.30751,1.30751,0.46311,0.46311,0.00932,0.00932,0.81024,0.81024,0.01484,0.01484,0.00156,0.00156,1.28923,1.28923,0.70328,0.70328,0.00058,0.00058,1.76579,0.10836,0.10836,2.31396,2.31396,0.77023,0.77023,1.80266,1.80266,0.91567,0.91567,1.90126,1.90126,2.45152,2.45152,0.79733,0.79733,0.1589,0.1589,1.55206,1.55424,0.09522,0.09538,1.13059,1.13478,2.7912,2.03674,0.39431,0.67795
2.0,0.2152571789095648,0.1877425251974392,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,124.23206303756936,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.06181250459461,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.3062,0.3062,1.95974,0.97962,0.97962,0.61292,0.61292,0.03618,0.03618,0.66527,0.66527,0.01639,0.01639,0.00041,0.00041,2.32075,2.32075,2.07226,2.07226,0.07514,0.07514,1.95974,0.00908,0.00908,2.0771,2.0771,1.66736,1.66736,1.47682,1.47682,0.90456,0.90456,1.95431,1.95431,2.2779,2.2779,1.75923,1.75923,0.26952,0.26952,1.72487,1.72496,0.00799,0.00799,2.04272,2.04272,2.5453,1.82826,1.26396,1.4676
11.0,0.2102528277316591,0.182964434029455,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,125.83674944144938,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0755277730038408,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21261,0.21261,1.40087,1.47267,1.47267,0.36417,0.36417,0.00711,0.00711,0.8832,0.8832,0.02123,0.02123,4e-05,4e-05,2.0863,2.0863,1.47511,1.47511,0.00218,0.00218,1.40087,0.02973,0.02973,1.52811,1.52811,1.30809,1.30809,1.18688,1.18688,0.61641,0.61641,0.63329,0.63329,0.76197,0.76197,1.10553,1.10553,0.18714,0.18714,1.23315,1.23304,0.02617,0.02617,1.83635,1.83635,2.13134,1.34504,0.8687,1.15138
15.0,0.2408425979823859,0.2096340164172988,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,125.8132651156921,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0753270522708729,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.05487,0.05487,1.16459,1.53238,1.53238,0.45162,0.45162,0.33977,0.33977,0.76729,0.76729,0.00612,0.00612,0.00039,0.00039,2.24154,2.24154,1.35178,1.35178,0.01613,0.01613,1.16459,0.00592,0.00592,1.55963,1.55963,1.19087,1.19087,1.29388,1.29388,0.15079,0.15079,2.01603,2.01603,1.66752,1.66752,0.97432,0.97432,0.0483,0.0483,1.02507,1.02507,0.00521,0.00521,1.97328,1.973,2.09033,1.37278,0.75673,1.0482
21.0,0.2075026626151243,0.1790208019614149,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,125.14590202921391,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.23396,0.23396,0.03112,0.03112,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0696230942667857,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07522,0.07522,1.78286,1.19038,1.19038,0.47372,0.47372,0.0013,0.0013,0.76219,0.76219,0.00298,0.00298,0.00154,0.00154,1.56264,1.56264,0.66837,0.66837,0.01498,0.01498,1.78286,0.0176,0.0176,1.74578,1.74578,1.22559,1.22559,0.53545,0.53545,1.26557,1.26557,2.02197,2.02197,1.8927,1.8927,1.01434,1.01434,0.06621,0.06621,1.56939,1.56927,0.01549,0.01549,1.37584,1.37543,2.09707,1.53663,0.89092,1.07876
