ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,i_d_0,i_d_0_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init,w_d_0,w_d_0_init,w_d_1,w_d_1_init,w_d_2,w_d_2_init,w_d_3,w_d_3_init,w_d_4,w_d_4_init,w_d_5,w_d_5_init
21.0,0.2074411999218976,0.1789524711824824,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,115.74900749510437,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03112,0.03112,2.0,2.0,1.0,1.0,1.71394,1.71394,0.9893077563684134,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07522,0.07522,1.78286,1.19038,1.19038,0.47372,0.47372,0.0013,0.0013,0.76219,0.76219,0.00298,0.00298,0.00154,0.00154,1.56264,1.56264,0.66837,0.66837,0.01498,0.01498,1.78286,0.0176,0.0176,1.74578,1.74578,1.22559,1.22559,0.53545,0.53545,1.26557,1.26557,2.02197,2.02197,1.8927,1.8927,1.01434,1.01434,0.08197,0.08197,1.94291,1.94291,0.01918,0.01918,1.70304,1.70292,2.03722,1.9025,1.27402,1.33561
24.0,0.2276666531206646,0.2011129656814973,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,103.78550307532562,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.8870555818403899,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.17453,0.17453,1.79426,1.28735,1.28735,0.47921,0.47921,0.10786,0.10786,0.87261,0.87261,0.03266,0.03266,1e-05,1e-05,1.19467,1.19467,1.00208,1.00208,0.02952,0.02952,1.79426,0.00724,0.00724,1.32705,1.32705,1.15156,1.15156,1.87502,1.87502,0.95354,0.95354,1.18116,1.18116,1.08677,1.08677,1.48797,1.48797,0.1902,0.1902,1.95533,1.95533,0.00789,0.00789,1.30192,1.30191,1.65585,1.44618,1.18099,1.25493
1.0,0.2093846041777375,0.1807492162569336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.94223538469916,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.948224234057258,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.14202,0.14202,1.66212,1.10123,1.10123,0.49125,0.49125,0.00042,0.00042,0.7221,0.7221,4e-05,4e-05,0.00265,0.00265,2.01485,2.01485,1.93253,1.93253,0.0138,0.0138,1.66212,0.00823,0.00823,1.716,1.716,1.40108,1.40108,0.91161,0.91161,1.21289,1.21289,1.64214,1.64214,2.01914,2.01914,1.6706,1.6706,0.15477,0.15477,1.8121,1.81133,0.00897,0.00897,2.19572,2.19572,2.03677,1.87004,1.47358,1.52685
15.0,0.240850722737905,0.2096446258034159,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,116.13220111137038,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.992582915481798,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.05487,0.05487,1.16459,1.53238,1.53238,0.45162,0.45162,0.33977,0.33977,0.76729,0.76729,0.00612,0.00612,0.00039,0.00039,2.24154,2.24154,1.35178,1.35178,0.01613,0.01613,1.16459,0.00592,0.00592,1.55963,1.55963,1.19087,1.19087,1.29388,1.29388,0.15079,0.15079,2.01603,2.01603,1.66752,1.66752,0.97432,0.97432,0.0598,0.0598,1.26917,1.26913,0.00645,0.00645,2.44285,2.44276,1.92925,1.69964,1.21616,1.29777
69.0,0.2117651360300449,0.1827426337782454,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,122.0179134147704,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.06854,0.06854,2.0,2.0,1.0,1.0,1.71394,1.71394,1.0428881488441917,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.33757,0.33757,0.97271,1.52266,1.52266,0.39248,0.39248,0.08608,0.08608,0.96172,0.96172,0.04249,0.04249,0.00022,0.00022,1.35192,1.35192,0.95406,0.95406,0.00144,0.00144,0.97271,0.00038,0.00038,1.53872,1.53872,0.75579,0.75579,0.79028,0.79028,0.54654,0.54654,1.59626,1.59626,1.57521,1.57521,0.76478,0.76478,0.36787,0.36787,1.06003,1.06003,0.00041,0.00041,1.47334,1.47328,1.8241,1.67685,0.7564,0.82364
11.0,0.2102640979625519,0.1829763289488687,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,101.91543415671642,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.871072086809542,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.21261,0.21261,1.40087,1.47267,1.47267,0.36417,0.36417,0.00711,0.00711,0.8832,0.8832,0.02123,0.02123,4e-05,4e-05,2.0863,2.0863,1.47511,1.47511,0.00218,0.00218,1.40087,0.02973,0.02973,1.52811,1.52811,1.30809,1.30809,1.18688,1.18688,0.61641,0.61641,0.63329,0.63329,0.76197,0.76197,1.10553,1.10553,0.2317,0.2317,1.52674,1.52663,0.03241,0.0324,2.27363,2.27359,1.98729,1.66529,1.27684,1.42552
26.0,0.2276029715257025,0.196625500409732,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,115.14719886362712,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03291,0.03291,2.0,2.0,1.0,1.0,1.71394,1.71394,0.9841640928515138,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.15029,0.15029,0.84966,1.67067,1.67067,0.38645,0.38645,0.21522,0.21522,0.82583,0.82583,0.0,0.0,0.00041,0.00041,1.40331,1.40331,1.73095,1.73095,0.00014,0.00014,0.84966,0.04165,0.04165,1.35023,1.35023,0.66791,0.66791,2.14978,2.14978,0.00815,0.00815,1.9227,1.9227,1.9362,1.9362,1.23755,1.23755,0.16378,0.16378,0.92593,0.92593,0.04539,0.04539,1.5293,1.52928,1.59251,1.47144,0.65199,0.72787
46.0,0.2136034636542652,0.1860355154387915,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,113.71551389156872,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.971927469158707,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.32708,0.32708,1.63346,1.3487,1.3487,0.48708,0.48708,0.15719,0.15719,0.73679,0.73679,0.0008,0.0008,3e-05,3e-05,1.3773,1.3773,0.99012,0.99012,0.02666,0.02666,1.63346,0.00034,0.00034,1.63641,1.63641,0.99372,0.99372,1.66873,1.66873,1.11426,1.11426,1.74976,1.74976,2.15249,2.15249,1.17547,1.17547,0.35644,0.35644,1.7801,1.78009,0.00037,0.00037,1.50093,1.50094,2.05235,1.78331,0.98765,1.08293
77.0,0.2332868215655748,0.203373156690924,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,131.38234656246786,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.07056,0.07056,2.0,2.0,1.0,1.0,1.71394,1.71394,1.1229260389954518,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.19828,0.19828,0.96404,1.62277,1.62277,0.44672,0.44672,0.3102,0.3102,0.80093,0.80093,0.00303,0.00303,0.0009,0.0009,1.30423,1.30423,0.823,0.823,0.01656,0.01656,0.96404,0.00032,0.00032,1.47822,1.47822,0.73606,0.73606,0.34883,0.34883,0.56754,0.56754,2.01682,2.01682,1.78169,1.78169,0.67868,0.67868,0.21608,0.21608,1.05058,1.05058,0.00035,0.00035,1.42134,1.42131,1.7379,1.61092,0.75971,0.80214
27.0,0.2099855952235379,0.1842265177332277,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,109.46003564363814,3.32409,0.83425,0.83425,2.15272,2.15272,3.32409,0.26855,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26581,0.26581,0.01448,0.01448,0.11203,0.11203,0.51341,0.51341,0.28967,0.28967,0.03,0.03,2.0,2.0,1.0,1.0,1.71394,1.71394,0.9355558602020354,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.40433,0.40433,1.9239,1.19604,1.19604,0.53342,0.53342,0.00426,0.00426,0.75192,0.75192,0.01053,0.01053,0.00443,0.00443,1.19054,1.19054,0.87197,0.87197,0.05915,0.05915,1.9239,0.00604,0.00604,1.76766,1.76766,1.01205,1.01205,1.97351,1.97351,1.59863,1.59863,1.64714,1.64714,2.38009,2.38009,1.28051,1.28051,0.44063,0.44063,2.09701,2.09661,0.00659,0.00658,1.29567,1.29741,2.21047,1.92634,0.98227,1.1029
