param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.14202,1.66212,0.00823,1.716,1.40108,0.91161,1.21289,1.64214,2.01914,1.6706,1.10123,0.49125,0.00042,0.7221,4e-05,0.00265,2.01485,1.93253,0.0138,0.01815,1
0.3062,1.95974,0.00908,2.0771,1.66736,1.47682,0.90456,1.95431,2.2779,1.75923,0.97962,0.61292,0.03618,0.66527,0.01639,0.00041,2.32075,2.07226,0.07514,0.01121,2
0.05002,1.99498,0.56046,2.25524,1.20147,1.63539,1.34558,1.558,1.85404,1.91044,1.14101,0.44162,0.10837,0.67834,0.01339,0.0012,0.92588,1.22927,0.00349,0.04915,3
0.13972,1.76339,0.00033,1.82701,1.19284,1.64012,1.03258,1.85529,2.02726,1.16395,1.39454,0.37046,0.03827,0.81297,0.00336,0.0001,1.72596,0.89369,0.00233,0.01966,4
0.12972,1.04047,0.00021,1.61772,0.23992,1.3931,0.38237,1.77392,2.09061,0.43754,1.43145,0.69892,0.51321,0.42971,0.00128,0.0087,0.83038,0.80107,0.14898,0.05087,5
0.18053,1.76579,0.10836,2.31396,0.77023,1.80266,0.91567,1.90126,2.45152,0.79733,1.30751,0.46311,0.00932,0.81024,0.01484,0.00156,1.28923,0.70328,0.00058,0.02836,6
0.25793,1.97107,0.00125,1.86083,1.48393,1.5426,1.30769,2.37099,2.20737,1.58306,1.1918,0.47971,0.02545,0.78069,1e-05,0.0,1.77801,0.9415,0.00045,0.02831,7
0.21768,1.56911,0.02433,1.57059,1.23098,0.93764,1.0179,1.44422,1.56063,1.22051,1.2437,0.48929,0.04621,0.78314,0.0024,0.0001,1.70765,1.28591,0.01897,0.01484,8
0.05655,1.4533,0.00637,2.3763,1.03825,1.42133,0.21638,1.822,2.13701,0.80254,1.12669,0.52019,0.04962,0.76285,0.02115,0.0001,2.28933,1.44526,0.02446,0.0119,9
0.21745,1.59205,0.03853,2.14531,1.07444,1.54307,0.94167,1.22133,2.1776,1.54824,1.10258,0.55746,0.02994,0.84721,0.08449,0.00014,1.77326,2.10161,0.09634,0.02619,10
0.21261,1.40087,0.02973,1.52811,1.30809,1.18688,0.61641,0.63329,0.76197,1.10553,1.47267,0.36417,0.00711,0.8832,0.02123,4e-05,2.0863,1.47511,0.00218,0.00668,11
